Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 56.52      4.81     4.81        1     4.81     7.80  Filter::blur(Matrix, int)
 10.75      5.72     0.92 601560000     0.00     0.00  Matrix::g(unsigned int, unsigned int)
  7.99      6.41     0.68 601560000     0.00     0.00  Matrix::r(unsigned int, unsigned int)
  7.05      7.00     0.60 18000000     0.00     0.00  Filter::Gauss::get_weights(int, double*)
  5.41      7.46     0.46        3     0.15     0.28  Matrix::Matrix(Matrix const&)
  4.99      7.89     0.42 601560000     0.00     0.00  Matrix::b(unsigned int, unsigned int)
  1.88      8.05     0.16 27000000     0.00     0.00  Matrix::r(unsigned int, unsigned int) const
  1.29      8.16     0.11 153006002     0.00     0.00  Matrix::get_y_size() const
  1.06      8.25     0.09 27000000     0.00     0.00  Matrix::b(unsigned int, unsigned int) const
  1.06      8.34     0.09                             _init
  0.82      8.41     0.07 135006004     0.00     0.00  Matrix::get_x_size() const
  0.47      8.45     0.04 27000000     0.00     0.00  Matrix::g(unsigned int, unsigned int) const
  0.47      8.49     0.04        1     0.04     0.04  PPM::Reader::get_data(unsigned int, unsigned int)
  0.24      8.51     0.02        1     0.02     0.02  PPM::Writer::operator()(Matrix, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      8.51     0.00     4428     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::base() const
  0.00      8.51     0.00     3084     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >::base() const
  0.00      8.51     0.00     2964     0.00     0.00  std::__new_allocator<char>::~__new_allocator()
  0.00      8.51     0.00     2952     0.00     0.00  char* std::vector<char, std::allocator<char> >::_M_data_ptr<char>(char*) const
  0.00      8.51     0.00     2952     0.00     0.00  std::vector<char, std::allocator<char> >::data()
  0.00      8.51     0.00     2220     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_M_get_Tp_allocator()
  0.00      8.51     0.00     2214     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::__normal_iterator(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const* const&)
  0.00      8.51     0.00     1548     0.00     0.00  std::_Base_bitset<4ul>::_S_whichbit(unsigned long)
  0.00      8.51     0.00     1539     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >::__normal_iterator(char const* const&)
  0.00      8.51     0.00     1536     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<char, char> const*, std::vector<std::pair<char, char>, std::allocator<std::pair<char, char> > > >::__normal_iterator(std::pair<char, char> const* const&)
  0.00      8.51     0.00     1536     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<char, char> const*, std::vector<std::pair<char, char>, std::allocator<std::pair<char, char> > > >::base() const
  0.00      8.51     0.00     1476     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::regex_traits<char>::_RegexMask const*, std::vector<std::__cxx11::regex_traits<char>::_RegexMask, std::allocator<std::__cxx11::regex_traits<char>::_RegexMask> > >::__normal_iterator(std::__cxx11::regex_traits<char>::_RegexMask const* const&)
